GCB-025 full Glazed reindex started at 2026-05-03T18:23:06-04:00
repo=/home/manuel/code/wesen/corporate-headquarters/glazed
db=/home/manuel/code/wesen/corporate-headquarters/codebase-browser/glazed-full-gcb025.db
parallelism=5
binary=codebase-browser version dev
  [commits 1/1577] 4b11cae
  [commits 2/1577] 58e0bd0
  [commits 3/1577] 4b2667c
  [commits 4/1577] 9db6a30
  [commits 5/1577] 5a09a7e
  [commits 6/1577] b50a2ab
  [commits 7/1577] e198068
  [commits 8/1577] 5e7937a
  [commits 9/1577] cca4dbf
  [commits 10/1577] e01db63
  [commits 11/1577] 4c879d9
  [commits 12/1577] be89ce5
  [commits 13/1577] 4b53811
  [commits 14/1577] 86b5afc
  [commits 15/1577] 2310f54
  [commits 16/1577] c3c0b94
  [commits 17/1577] 6d5494a
  [commits 18/1577] 38e146c
  [commits 19/1577] 08154a3
  [commits 20/1577] 0ea0e3e
  [commits 21/1577] 9af29ac
  [commits 22/1577] 99c263e
  [commits 23/1577] f943433
  [commits 24/1577] b0035dd
  [commits 25/1577] 08ed5eb
  [commits 26/1577] 2bf044e
  [commits 27/1577] efc0bc2
  [commits 28/1577] 60317ee
  [commits 29/1577] 9f62a87
  [commits 30/1577] badcb82
  [commits 31/1577] 7e62264
  [commits 32/1577] 7f38ed4
  [commits 33/1577] 9348541
  [commits 34/1577] 2bcbfca
  [commits 35/1577] 18eef8b
  [commits 36/1577] dc9baab
  [commits 37/1577] 3ef4fe0
  [commits 38/1577] 08b8905
  [commits 39/1577] b91e949
  [commits 40/1577] 1a61d7f
  [commits 41/1577] 6d784aa
  [commits 42/1577] 2bc01c9
  [commits 43/1577] 0ad448f
  [commits 44/1577] b2e13ce
  [commits 45/1577] 258e9a8
  [commits 46/1577] 8e7029f
  [commits 47/1577] a9cda9e
  [commits 48/1577] 014c89c
  [commits 49/1577] c82f5db
  [commits 50/1577] 650f5ea
  [commits 51/1577] 37b3162
  [commits 52/1577] 4faaa9d
  [commits 53/1577] b27a2e5
  [commits 54/1577] dc67126
  [commits 55/1577] c390fe7
  [commits 56/1577] eb219dc
  [commits 57/1577] 72e09bc
  [commits 58/1577] 12f0e28
  [commits 59/1577] 57d075b
  [commits 60/1577] f8dd900
  [commits 61/1577] 7d70af7
  [commits 62/1577] 19c91f3
  [commits 63/1577] 2a5603d
  [commits 64/1577] 81f52fc
  [commits 65/1577] 391a62f
  [commits 66/1577] 5600239
  [commits 67/1577] b9b2510
  [commits 68/1577] c9d4001
  [commits 69/1577] 811d260
  [commits 70/1577] 3005dba
  [commits 71/1577] cd4f6d9
  [commits 72/1577] fcfe018
  [commits 73/1577] f13b8df
  [commits 74/1577] a94d873
  [commits 75/1577] c850f23
  [commits 76/1577] 0e0f443
  [commits 77/1577] 3392768
  [commits 78/1577] ef3fdf7
  [commits 79/1577] 5c04291
  [commits 80/1577] 2088c59
  [commits 81/1577] 0bf7314
  [commits 82/1577] b9628f7
  [commits 83/1577] e0b3dd8
  [commits 84/1577] e9180b0
  [commits 85/1577] 1226fec
  [commits 86/1577] ce8ec44
  [commits 87/1577] d674a95
  [commits 88/1577] 0c42b34
  [commits 89/1577] 99b17e0
  [commits 90/1577] e0e341b
  [commits 91/1577] bb73490
  [commits 92/1577] 87016dd
  [commits 93/1577] 1828776
  [commits 94/1577] 8181daa
  [commits 95/1577] 18254a4
  [commits 96/1577] 2a28680
  [commits 97/1577] 907bebc
  [commits 98/1577] 11012f5
  [commits 99/1577] b5eaf44
  [commits 100/1577] 348d0d6
  [commits 101/1577] 697197a
  [commits 102/1577] b4d879a
  [commits 103/1577] fec7ad7
  [commits 104/1577] 5c82e58
  [commits 105/1577] 2d76053
  [commits 106/1577] 3b10090
  [commits 107/1577] f257a6a
  [commits 108/1577] 8669dc6
  [commits 109/1577] 9a5a1ff
  [commits 110/1577] d97240c
  [commits 111/1577] f98a6d3
  [commits 112/1577] a640993
  [commits 113/1577] 71e6c30
  [commits 114/1577] 92f1ccc
  [commits 115/1577] 2437651
  [commits 116/1577] 5fec118
  [commits 117/1577] 4966ed1
  [commits 118/1577] 0530843
  [commits 119/1577] a0cb8bc
  [commits 120/1577] a025c34
  [commits 121/1577] c00afe3
  [commits 122/1577] 5b91c43
  [commits 123/1577] e2aa076
  [commits 124/1577] a9c5455
  [commits 125/1577] f53d59c
  [commits 126/1577] d159986
  [commits 127/1577] eca6aa4
  [commits 128/1577] eae3b82
  [commits 129/1577] 40d4a80
  [commits 130/1577] cca9859
  [commits 131/1577] b856c80
  [commits 132/1577] 9d673f9
  [commits 133/1577] e1120c8
  [commits 134/1577] d6ac109
  [commits 135/1577] 8980e61
  [commits 136/1577] fb2f616
  [commits 137/1577] b33f002
  [commits 138/1577] 5928111
  [commits 139/1577] db2641b
  [commits 140/1577] 3d92e61
  [commits 141/1577] acfbe4e
  [commits 142/1577] ce85c11
  [commits 143/1577] 0d48330
  [commits 144/1577] f6a6573
  [commits 145/1577] b7c3767
  [commits 146/1577] 42e179a
  [commits 147/1577] ddf755f
  [commits 148/1577] 026bab1
  [commits 149/1577] 27108c3
  [commits 150/1577] c6b33e7
  [commits 151/1577] afd8910
  [commits 152/1577] dab80c0
  [commits 153/1577] 637fffe
  [commits 154/1577] 53984d4
  [commits 155/1577] 42e901e
  [commits 156/1577] 4ee7b69
  [commits 157/1577] 43561e3
  [commits 158/1577] 5050915
  [commits 159/1577] 1ff522c
  [commits 160/1577] 0df6e57
  [commits 161/1577] dbdb553
  [commits 162/1577] 2ab1274
  [commits 163/1577] 57c0662
  [commits 164/1577] 59a222d
  [commits 165/1577] 0f0201c
  [commits 166/1577] b84ab3b
  [commits 167/1577] 7283e9e
  [commits 168/1577] c970b65
  [commits 169/1577] 95aba2e
  [commits 170/1577] 70d0f0d
  [commits 171/1577] bab8e96
  [commits 172/1577] 0bd4537
  [commits 173/1577] 7daffab
  [commits 174/1577] 1ab0a39
  [commits 175/1577] 0fe6467
  [commits 176/1577] f7ec5fd
  [commits 177/1577] 2a3240d
  [commits 178/1577] cc669fd
  [commits 179/1577] acdaad2
  [commits 180/1577] bc7a239
  [commits 181/1577] 70eb446
  [commits 182/1577] a9cde8c
  [commits 183/1577] 0cf2caa
  [commits 184/1577] 950e7a1
  [commits 185/1577] 1809a3b
  [commits 186/1577] 09aa519
  [commits 187/1577] bcd2323
  [commits 188/1577] 5e1b45a
  [commits 189/1577] ae65d0f
  [commits 190/1577] ad4e0a5
  [commits 191/1577] 9a2eb75
  [commits 192/1577] 255f477
  [commits 193/1577] 7572939
  [commits 194/1577] 2d2213b
  [commits 195/1577] 9708ee3
  [commits 196/1577] f974c24
  [commits 197/1577] 5bca903
  [commits 198/1577] 2279572
  [commits 199/1577] 46bfb55
  [commits 200/1577] dd5afc2
  [commits 201/1577] 31f39bc
  [commits 202/1577] 4ee64d4
  [commits 203/1577] 991d8bf
  [commits 204/1577] bf7c5b3
  [commits 205/1577] d1ba4af
  [commits 206/1577] f5e6cef
  [commits 207/1577] a24c296
  [commits 208/1577] 1e0ab17
  [commits 209/1577] e69afcb
  [commits 210/1577] ad98867
  [commits 211/1577] d33886c
  [commits 212/1577] 3a767e5
  [commits 213/1577] ae88593
  [commits 214/1577] 0d9583c
  [commits 215/1577] 278269e
  [commits 216/1577] 8ec0697
  [commits 217/1577] 9fbf312
  [commits 218/1577] d58e19e
  [commits 219/1577] 0ab2d15
  [commits 220/1577] 3975aef
  [commits 221/1577] cfa4dee
  [commits 222/1577] a14673c
  [commits 223/1577] 7a64279
  [commits 224/1577] b785a2f
  [commits 225/1577] 635a831
  [commits 226/1577] 0ac9853
  [commits 227/1577] e3c4a02
  [commits 228/1577] 404e09f
  [commits 229/1577] ff3cf80
  [commits 230/1577] efaf0fd
  [commits 231/1577] 73649a7
  [commits 232/1577] 803014f
  [commits 233/1577] 9d163fd
  [commits 234/1577] 59b47c7
  [commits 235/1577] 3ee7a96
  [commits 236/1577] 9f97e98
  [commits 237/1577] a41a0f5
  [commits 238/1577] 8d3b0f9
  [commits 239/1577] 0f0a46e
  [commits 240/1577] 353a102
  [commits 241/1577] 6ac7df6
  [commits 242/1577] 4e0f14f
  [commits 243/1577] 1d3f60f
  [commits 244/1577] 7f5fbb3
  [commits 245/1577] 206f461
  [commits 246/1577] fd2877b
  [commits 247/1577] 3586f36
  [commits 248/1577] 11f358d
  [commits 249/1577] c3f1023
  [commits 250/1577] 3685cc5
  [commits 251/1577] a0b4e90
  [commits 252/1577] 7ad70d8
  [commits 253/1577] 56dfd3d
  [commits 254/1577] 8fcabac
  [commits 255/1577] c76ce17
  [commits 256/1577] 7b9f9cc
  [commits 257/1577] cebc160
  [commits 258/1577] 24b5bbe
  [commits 259/1577] e455738
  [commits 260/1577] c474ac5
  [commits 261/1577] 88d5a39
  [commits 262/1577] 00d5fed
  [commits 263/1577] 37b787d
  [commits 264/1577] 8a9c26e
  [commits 265/1577] 46aa4e7
  [commits 266/1577] 215ef84
  [commits 267/1577] 6844cbf
  [commits 268/1577] 50db9f3
  [commits 269/1577] 5aa6a7b
  [commits 270/1577] 5766e46
  [commits 271/1577] 7874112
  [commits 272/1577] 2a42a04
  [commits 273/1577] 1e1e79f
  [commits 274/1577] a5f5e1f
  [commits 275/1577] 52c5ead
  [commits 276/1577] 1480995
  [commits 277/1577] 4368f2e
  [commits 278/1577] 2425fdd
  [commits 279/1577] 82064e0
  [commits 280/1577] 072de81
  [commits 281/1577] 24d7f57
  [commits 282/1577] e4cd9f3
  [commits 283/1577] 778ca09
  [commits 284/1577] bf850ec
  [commits 285/1577] fadcbab
  [commits 286/1577] 14d6e31
  [commits 287/1577] 140fae2
  [commits 288/1577] 6334890
  [commits 289/1577] 6ef6845
  [commits 290/1577] 8feeada
  [commits 291/1577] 132c939
  [commits 292/1577] 21c58e1
  [commits 293/1577] b54c251
  [commits 294/1577] 6c3d8e3
  [commits 295/1577] a8a2f8c
  [commits 296/1577] 34733d3
  [commits 297/1577] fa9138c
  [commits 298/1577] 4a08ca2
  [commits 299/1577] f1327e8
  [commits 300/1577] 65acb12
  [commits 301/1577] 3ea1f83
  [commits 302/1577] 5a56a49
